Mental Health Disorder Group,ICD10_Code,Description
Anxiety Disorders,F4000,"Agoraphobia, unspecified"
Anxiety Disorders,F4001,Agoraphobia with panic disorder
Anxiety Disorders,F4002,Agoraphobia without panic disorder
Anxiety Disorders,F4010,"Social phobia, unspecified"
Anxiety Disorders,F4011,"Social phobia, generalized"
Anxiety Disorders,F40210,Arachnophobia
Anxiety Disorders,F40218,Other animal type phobia
Anxiety Disorders,F40220,Fear of thunderstorms
Anxiety Disorders,F40228,Other natural environment type phobia
Anxiety Disorders,F40230,Fear of blood
Anxiety Disorders,F40231,Fear of injections and transfusions
Anxiety Disorders,F40232,Fear of other medical care
Anxiety Disorders,F40233,Fear of injury
Anxiety Disorders,F40240,Claustrophobia
Anxiety Disorders,F40241,Acrophobia
Anxiety Disorders,F40242,Fear of bridges
Anxiety Disorders,F40243,Fear of flying
Anxiety Disorders,F40248,Other situational type phobia
Anxiety Disorders,F40290,Androphobia
Anxiety Disorders,F40291,Gynephobia
Anxiety Disorders,F40298,Other specified phobia
Anxiety Disorders,F408,Other phobic anxiety disorders
Anxiety Disorders,F409,"Phobic anxiety disorder, unspecified"
Anxiety Disorders,F410,Panic disorder [episodic paroxysmal anxiety] without agoraphobia
Anxiety Disorders,F411,Generalized anxiety disorder
Anxiety Disorders,F413,Other mixed anxiety disorders
Anxiety Disorders,F418,Other specified anxiety disorders
Anxiety Disorders,F419,"Anxiety disorder, unspecified"
Anxiety Disorders,F930,Separation anxiety disorder of childhood
Anxiety Disorders,F940,Selective mutism
Bipolar and Related Disorders,F3010,"Manic episode without psychotic symptoms, unspecified"
Bipolar and Related Disorders,F3011,"Manic episode without psychotic symptoms, mild"
Bipolar and Related Disorders,F3012,"Manic episode without psychotic symptoms, moderate"
Bipolar and Related Disorders,F3013,"Manic episode, severe, without psychotic symptoms"
Bipolar and Related Disorders,F302,"Manic episode, severe with psychotic symptoms"
Bipolar and Related Disorders,F303,Manic episode in partial remission
Bipolar and Related Disorders,F304,Manic episode in full remission
Bipolar and Related Disorders,F308,Other manic episodes
Bipolar and Related Disorders,F309,"Manic episode, unspecified"
Bipolar and Related Disorders,F310,"Bipolar disorder, current episode hypomanic"
Bipolar and Related Disorders,F3110,"Bipolar disorder, current episode manic without psychotic features, unspecified"
Bipolar and Related Disorders,F3111,"Bipolar disorder, current episode manic without psychotic features, mild"
Bipolar and Related Disorders,F3112,"Bipolar disorder, current episode manic without psychotic features, moderate"
Bipolar and Related Disorders,F3113,"Bipolar disorder, current episode manic without psychotic features, severe"
Bipolar and Related Disorders,F312,"Bipolar disorder, current episode manic severe with psychotic features"
Bipolar and Related Disorders,F3130,"Bipolar disorder, current episode depressed, mild or moderate severity, unspecified"
Bipolar and Related Disorders,F3131,"Bipolar disorder, current episode depressed, mild"
Bipolar and Related Disorders,F3132,"Bipolar disorder, current episode depressed, moderate"
Bipolar and Related Disorders,F314,"Bipolar disorder, current episode depressed, severe, without psychotic features"
Bipolar and Related Disorders,F315,"Bipolar disorder, current episode depressed, severe, with psychotic features"
Bipolar and Related Disorders,F3160,"Bipolar disorder, current episode mixed, unspecified"
Bipolar and Related Disorders,F3161,"Bipolar disorder, current episode mixed, mild"
Bipolar and Related Disorders,F3162,"Bipolar disorder, current episode mixed, moderate"
Bipolar and Related Disorders,F3163,"Bipolar disorder, current episode mixed, severe, without psychotic features"
Bipolar and Related Disorders,F3164,"Bipolar disorder, current episode mixed, severe, with psychotic features"
Bipolar and Related Disorders,F3170,"Bipolar disorder, currently in remission, most recent episode unspecified"
Bipolar and Related Disorders,F3171,"Bipolar disorder, in partial remission, most recent episode hypomanic"
Bipolar and Related Disorders,F3172,"Bipolar disorder, in full remission, most recent episode hypomanic"
Bipolar and Related Disorders,F3173,"Bipolar disorder, in partial remission, most recent episode manic"
Bipolar and Related Disorders,F3174,"Bipolar disorder, in full remission, most recent episode manic"
Bipolar and Related Disorders,F3175,"Bipolar disorder, in partial remission, most recent episode depressed"
Bipolar and Related Disorders,F3176,"Bipolar disorder, in full remission, most recent episode depressed"
Bipolar and Related Disorders,F3177,"Bipolar disorder, in partial remission, most recent episode mixed"
Bipolar and Related Disorders,F3178,"Bipolar disorder, in full remission, most recent episode mixed"
Bipolar and Related Disorders,F3181,Bipolar II disorder
Bipolar and Related Disorders,F3189,Other bipolar disorder
Bipolar and Related Disorders,F319,"Bipolar disorder, unspecified"
Bipolar and Related Disorders,F340,Cyclothymic disorder
Depressive Disorders,F320,"Major depressive disorder, single episode, mild"
Depressive Disorders,F321,"Major depressive disorder, single episode, moderate"
Depressive Disorders,F322,"Major depressive disorder, single episode, severe without psychotic features"
Depressive Disorders,F323,"Major depressive disorder, single episode, severe with psychotic features"
Depressive Disorders,F324,"Major depressive disorder, single episode, in partial remission"
Depressive Disorders,F325,"Major depressive disorder, single episode, in full remission"
Depressive Disorders,F328,Other depressive episodes
Depressive Disorders,F3289,Other specified depressive episodes
Depressive Disorders,F329,"Major depressive disorder, single episode, unspecified"
Depressive Disorders,F330,"Major depressive disorder, recurrent, mild"
Depressive Disorders,F331,"Major depressive disorder, recurrent, moderate"
Depressive Disorders,F332,"Major depressive disorder, recurrent severe without psychotic features"
Depressive Disorders,F333,"Major depressive disorder, recurrent, severe with psychotic symptoms"
Depressive Disorders,F3340,"Major depressive disorder, recurrent, in remission, unspecified"
Depressive Disorders,F3341,"Major depressive disorder, recurrent, in partial remission"
Depressive Disorders,F3342,"Major depressive disorder, recurrent, in full remission"
Depressive Disorders,F338,Other recurrent depressive disorders
Depressive Disorders,F339,"Major depressive disorder, recurrent, unspecified"
