Mental_Health_Disorder_Group,ICD10_Code,Description
Accidental or Undetermined Poisoning,ICD10:T40.0X1A,"Poisoning by opium, accidental (unintentional), initial encounter"
Accidental or Undetermined Poisoning,ICD10:T40.0X4A,"Poisoning by opium, undetermined, initial encounter"
Accidental or Undetermined Poisoning,ICD10:T40.1X1A,"Poisoning by heroin, accidental (unintentional), initial encounter"
Accidental or Undetermined Poisoning,ICD10:T40.1X4A,"Poisoning by heroin, undetermined, initial encounter"
Accidental or Undetermined Poisoning,ICD10:T40.2X1A,"Poisoning by other opioids, accidental (unintentional), initial encounter"
Accidental or Undetermined Poisoning,ICD10:T40.2X4A,"Poisoning by other opioids, undetermined, initial encounter"
Accidental or Undetermined Poisoning,ICD10:T40.3X1A,"Poisoning by methadone, accidental (unintentional), initial encounter"
Accidental or Undetermined Poisoning,ICD10:T40.3X4A,"Poisoning by methadone, undetermined, initial encounter"
Accidental or Undetermined Poisoning,ICD10:T40.4X1A,"Poisoning by other synthetic narcotics, accidental (unintentional), initial encounter"
Accidental or Undetermined Poisoning,ICD10:T40.4X4A,"Poisoning by other synthetic narcotics, undetermined, initial encounter"
Accidental or Undetermined Poisoning,ICD10:T40.5X1A,"Poisoning by cocaine, accidental (unintentional), initial encounter"
Accidental or Undetermined Poisoning,ICD10:T40.5X4A,"Poisoning by cocaine, undetermined, initial encounter"
Accidental or Undetermined Poisoning,ICD10:T40.601A,"Poisoning by unspecified narcotics, accidental (unintentional), initial encounter"
Accidental or Undetermined Poisoning,ICD10:T40.604A,"Poisoning by unspecified narcotics, undetermined, initial encounter"
Accidental or Undetermined Poisoning,ICD10:T40.691A,"Poisoning by other narcotics, accidental (unintentional), initial encounter"
Accidental or Undetermined Poisoning,ICD10:T40.694A,"Poisoning by other narcotics, undetermined, initial encounter"
Accidental or Undetermined Poisoning,ICD10:T40.7X1A,"Poisoning by cannabis (derivatives), accidental (unintentional), initial encounter"
Accidental or Undetermined Poisoning,ICD10:T40.7X4A,"Poisoning by cannabis (derivatives), undetermined, initial encounter"
Accidental or Undetermined Poisoning,ICD10:T40.8X1A,"Poisoning by lysergide [LSD], accidental (unintentional), initial encounter"
Accidental or Undetermined Poisoning,ICD10:T40.8X4A,"Poisoning by lysergide [LSD], undetermined, initial encounter"
Accidental or Undetermined Poisoning,ICD10:T40.901A,"Poisoning by unspecified psychodysleptics [hallucinogens], accidental (unintentional), initial encounter"
Accidental or Undetermined Poisoning,ICD10:T40.904A,"Poisoning by unspecified psychodysleptics [hallucinogens], undetermined, initial encounter"
Accidental or Undetermined Poisoning,ICD10:T40.991A,"Poisoning by other psychodysleptics [hallucinogens], accidental (unintentional), initial encounter"
Accidental or Undetermined Poisoning,ICD10:T40.994A,"Poisoning by other psychodysleptics [hallucinogens], undetermined, initial encounter"
Accidental or Undetermined Poisoning,ICD10:T42.6X4A,"Poisoning by other antiepileptic and sedative-hypnotic drugs, undetermined, initial encounter"
Accidental or Undetermined Poisoning,ICD10:T43.641A,"Poisoning by ecstasy, accidental (unintentional), initial encounter"
Accidental or Undetermined Poisoning,ICD10:T43.641S,"Poisoning by ecstasy, accidental (unintentional), sequela"
Accidental or Undetermined Poisoning,ICD10:T43.644A,"Poisoning by ecstasy, undetermined, initial encounter"
Accidental or Undetermined Poisoning,ICD10:T43.644S,"Poisoning by ecstasy, undetermined, sequela"
Accidental or Undetermined Poisoning,ICD10:T51.0X1A,"Toxic effect of ethanol, accidental (unintentional), initial encounter"
Accidental or Undetermined Poisoning,ICD10:T51.0X4A,"Toxic effect of ethanol, undetermined, initial encounter"
Anxiety Disorders,ICD10:F40.00,"Agoraphobia, unspecified"
Anxiety Disorders,ICD10:F40.01,Agoraphobia with panic disorder
Anxiety Disorders,ICD10:F40.02,Agoraphobia without panic disorder
Anxiety Disorders,ICD10:F40.10,"Social phobia, unspecified"
Anxiety Disorders,ICD10:F40.11,"Social phobia, generalized"
Anxiety Disorders,ICD10:F40.210,Arachnophobia
Anxiety Disorders,ICD10:F40.218,Other animal type phobia
Anxiety Disorders,ICD10:F40.220,Fear of thunderstorms
Anxiety Disorders,ICD10:F40.228,Other natural environment type phobia
Anxiety Disorders,ICD10:F40.230,Fear of blood
Anxiety Disorders,ICD10:F40.231,Fear of injections and transfusions
Anxiety Disorders,ICD10:F40.232,Fear of other medical care
Anxiety Disorders,ICD10:F40.233,Fear of injury
Anxiety Disorders,ICD10:F40.240,Claustrophobia
Anxiety Disorders,ICD10:F40.241,Acrophobia
Anxiety Disorders,ICD10:F40.242,Fear of bridges
Anxiety Disorders,ICD10:F40.243,Fear of flying
Anxiety Disorders,ICD10:F40.248,Other situational type phobia
Anxiety Disorders,ICD10:F40.290,Androphobia
Anxiety Disorders,ICD10:F40.291,Gynephobia
Anxiety Disorders,ICD10:F40.298,Other specified phobia
Anxiety Disorders,ICD10:F40.8,Other phobic anxiety disorders
Anxiety Disorders,ICD10:F40.9,"Phobic anxiety disorder, unspecified"
Anxiety Disorders,ICD10:F41.0,Panic disorder [episodic paroxysmal anxiety] without agoraphobia
Anxiety Disorders,ICD10:F41.1,Generalized anxiety disorder
Anxiety Disorders,ICD10:F41.3,Other mixed anxiety disorders
Anxiety Disorders,ICD10:F41.8,Other specified anxiety disorders
Anxiety Disorders,ICD10:F41.9,"Anxiety disorder, unspecified"
Anxiety Disorders,ICD10:F93.0,Separation anxiety disorder of childhood
Anxiety Disorders,ICD10:F94.0,Selective mutism
Bipolar and Related Disorders,ICD10:F30.10,"Manic episode without psychotic symptoms, unspecified"
Bipolar and Related Disorders,ICD10:F30.11,"Manic episode without psychotic symptoms, mild"
Bipolar and Related Disorders,ICD10:F30.12,"Manic episode without psychotic symptoms, moderate"
Bipolar and Related Disorders,ICD10:F30.13,"Manic episode, severe, without psychotic symptoms"
Bipolar and Related Disorders,ICD10:F30.2,"Manic episode, severe with psychotic symptoms"
Bipolar and Related Disorders,ICD10:F30.3,Manic episode in partial remission
Bipolar and Related Disorders,ICD10:F30.4,Manic episode in full remission
Bipolar and Related Disorders,ICD10:F30.8,Other manic episodes
Bipolar and Related Disorders,ICD10:F30.9,"Manic episode, unspecified"
Bipolar and Related Disorders,ICD10:F31.0,"Bipolar disorder, current episode hypomanic"
Bipolar and Related Disorders,ICD10:F31.10,"Bipolar disorder, current episode manic without psychotic features, unspecified"
Bipolar and Related Disorders,ICD10:F31.11,"Bipolar disorder, current episode manic without psychotic features, mild"
Bipolar and Related Disorders,ICD10:F31.12,"Bipolar disorder, current episode manic without psychotic features, moderate"
Bipolar and Related Disorders,ICD10:F31.13,"Bipolar disorder, current episode manic without psychotic features, severe"
Bipolar and Related Disorders,ICD10:F31.2,"Bipolar disorder, current episode manic severe with psychotic features"
Bipolar and Related Disorders,ICD10:F31.30,"Bipolar disorder, current episode depressed, mild or moderate severity, unspecified"
Bipolar and Related Disorders,ICD10:F31.31,"Bipolar disorder, current episode depressed, mild"
Bipolar and Related Disorders,ICD10:F31.32,"Bipolar disorder, current episode depressed, moderate"
Bipolar and Related Disorders,ICD10:F31.4,"Bipolar disorder, current episode depressed, severe, without psychotic features"
Bipolar and Related Disorders,ICD10:F31.5,"Bipolar disorder, current episode depressed, severe, with psychotic features"
Bipolar and Related Disorders,ICD10:F31.60,"Bipolar disorder, current episode mixed, unspecified"
Bipolar and Related Disorders,ICD10:F31.61,"Bipolar disorder, current episode mixed, mild"
